Date/Time,Day/Task,Productivity,Times slept,Times died,Mobs killed,Creeper explosions,Number of other players,Additional information
,,,,,,,,
241014,0,,,,,,,
161700,Downtime,0,0,0,0,0,1,0
161803,Building,8,1,0,0,0,1,Tower 15
163255,Downtime,0,0,1,0,0,1,0
163437,Building,4,0,1,0,0,1,Tower 15
163813,Resources,4,1,0,0,1,1,Stone
164305,Downtime,0,0,0,0,0,1,0
164410,Farming,5,0,0,0,0,1,Wheat
164600,Downtime,0,0,0,0,0,1,0
164636,Resources,9,0,0,1,1,1,Spruce farm
165117,Building,3,0,0,0,0,1,Fixing creeper Explosion
165247,Downtime,0,1,0,0,0,1,0
165801,Resources,6,0,0,0,0,1,Mud
170529,Downtime,0,0,0,0,0,1,0
170649,Building,9,2,2,0,0,1,Tower 15
172620,Downtime,0,0,0,0,0,0,0
172738,Building,7,1,0,0,0,0,Tower 15
173340,Downtime,0,0,0,0,1,0,0
173546,Farming,5,0,0,0,0,0,Wheat
173703,Downtime,0,0,0,0,0,0,Stone
173738,Resources,5,0,0,0,0,0,0
174033,Building,2,1,3,0,0,0,Tower 15
175134,Pause,0,0,0,0,0,0,0
180600,Building,4,0,1,0,0,0,Tower 15
180828,Downtime,0,0,0,0,0,0,0
180937,Resources,6,0,0,0,0,0,Spruce farm
181112,Downtime,0,1,0,0,0,0,0
181411,Building,6,0,0,0,0,0,Tower 15
182113,Downtime,0,1,0,0,0,0,0
182314,Building,5,0,0,0,0,0,Tower 15
182520,End,0,0,0,0,0,0,0
241015,1,,,,,,,
165700,Downtime,0,0,0,0,0,0,0
165824,Resources,6,0,0,0,0,0,Clay farm materials
170828,Downtime,0,1,0,0,0,0,0
170922,Resources,3,0,0,0,0,0,Clay farm materials
171054,Mining,5,0,0,0,0,0,Making space for clay farm
171241,Building,9,0,0,0,0,0,Clay farm
171850,Downtime,0,1,0,0,0,0,0
172022,Resources,4,0,0,0,0,0,Sand
172152,Pause,0,0,0,0,0,0,0
172400,Downtime,0,0,0,0,1,0,0
172634,Mining,3,0,0,0,0,0,Making space for clay farm
172730,Smelting,4,0,0,0,0,0,Glass
172915,Resources,3,0,0,0,0,0,Sand
173200,Smelting,4,1,0,0,0,0,Glass
173316,Downtime,0,0,0,0,1,0,0
173359,Building,6,1,0,0,0,0,Clay farm
174424,Resources,6,1,0,0,0,0,Dirt
174734,Farming,1,0,0,0,0,0,Wheat
174823,Building,2,1,0,0,0,0,Clay farm
175536,Downtime,0,0,0,0,0,0,Clay farm
175842,Building,3,1,0,0,0,0,0
180534,Resources,4,0,0,0,0,0,Sand
180932,Downtime,0,0,0,0,0,0,0
181124,Building,10,1,0,0,0,0,Clay farm
182041,Downtime,0,0,0,0,0,0,0
182249,Resources,8,1,0,0,2,0,Sand
184226,End,0,0,0,0,0,0,0
241018,4,,,,,,,
172400,Smelting,6,1,0,0,0,3,Glass
172658,Resources,5,0,1,0,1,3,Sand
173209,Downtime,0,0,0,0,0,3,0
173420,Resources,3,0,0,0,0,3,Stone farm
174157,Downtime,0,1,0,0,0,2,0
174321,Resources,6,0,0,0,0,2,Sand
174706,Downtime,0,0,0,0,0,2,0
175411,Smelting,6,0,0,0,0,2,Glass
175842,Farming,1,0,0,0,0,2,Wheat
175901,Downtime,0,0,0,0,0,2,0
180157,Building,3,0,0,0,0,2,Clay farm
180630,Downtime,0,1,0,0,0,2,0
181019,Resources,6,0,0,0,0,2,Clay
181053,Downtime,0,0,0,0,0,2,0
181248,Smelting,10,0,0,0,0,2,Bricks
182417,Downtime,0,0,0,0,0,1,0
182636,Farming,5,0,0,0,0,1,Wheat
182831,Downtime,0,1,0,0,0,1,0
183506,Building,4,0,1,0,0,1,Tower 15
183910,Downtime,0,0,0,0,0,1,0
184043,Mining,8,0,1,10,2,1,0
185914,Downtime,0,1,0,0,0,1,0
190401,Building,7,2,1,0,0,1,Tower 15
191815,Downtime,0,0,0,0,0,1,0
192000,Building,2,0,0,0,0,1,Tower 17
192212,Downtime,0,0,0,0,0,0,0
192345,Building,2,0,0,0,0,0,Tower 17
192636,End,0,0,0,0,0,0,0
241019,5,,,,,,,
175927,Building,5,2,0,0,0,0,Tower 17
182054,End,0,0,0,0,0,0,0
241020,6,,,,,,,
140400,Downtime,0,1,0,0,0,0,0
140556,Building,8,2,0,0,0,1,Tower 17
142553,Downtime,0,0,0,0,0,1,0
143020,Farming,5,0,1,0,0,1,Wheat
143248,Downtime,0,0,1,0,0,1,0
144006,Building,10,1,1,0,2,1,0
145307,Pause,0,0,0,0,0,1,0
154500,Downtime,0,1,0,0,0,1,0
154700,Building,7,0,1,1,0,1,Tower 17
160405,Resources,2,1,1,0,1,1,Dirt
160739,Building,9,2,1,0,0,0,Tower 17
162945,Downtime,0,0,0,0,0,0,0
163435,Building,6,1,1,0,0,0,Tower 17
165418,Resources,4,1,0,0,0,0,Clay
165725,Smelting,4,0,0,0,0,0,Bricks
